餐次,食物名称,主要成分,食物编码,可食部（克/份）,食用份数,碳水化合物 (g/100g),蛋白质 (g/100g),脂肪 (g/100g),钙 (mg/100g),铁 (mg/100g),锌 (mg/100g),维生素A (μg/100g),维生素B1 (mg/100g),维生素B2 (mg/100g),维生素C (mg/100g),异亮氨酸 (g/100g),亮氨酸 (g/100g),赖氨酸 (g/100g),含硫氨基酸 (g/100g),芳香族氨基酸 (g/100g),苏氨酸 (g/100g),色氨酸 (g/100g),缬氨酸 (g/100g)
早餐,小米粥,小米,015101,15,1,73.5,9,1.6,8,3,1.5,0,0.3,0.1,0,4,7,0.25,0.5,0.5,0.3,0.09,0.4
早餐,油条,小麦粉,011201x,50,2,70,10.5,1.8,15,1.2,1,0,0.5,0.2,0,4.5,8,0.25,0.6,0.6,0.4,0.11,0.5
早餐,油条,豆油,192004,10,2,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,煎鸡蛋,鸡蛋,111101x,50,1,2.5,13.1,10.6,55,2.1,1.1,140,0.1,0.4,0,5,9,0.93,1,1,0.5,0.17,0.65
早餐,煎鸡蛋,豆油,192004,10,1,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,拌海带丝,海带,052004,100,1,10.6,1.2,0.1,150,2.8,1,0,0.1,0.2,2,0.5,1,0.1,0.2,0.2,0.1,0.02,0.12
早餐,拌海带丝,芝麻油,192017,2,1,0,0,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
午餐,大米饭,稻米,012001x,25,4,77.2,7.4,0.6,6,0.8,1.2,0,0.3,0.05,0,3,5,0.3,0.4,0.4,0.3,0.08,0.35
午餐,拌木耳,木耳,051014,100,1,6,1.5,0.2,10,1,0.5,0,0.1,0.1,0,0.6,1.2,0.15,0.1,0.2,0.2,0.03,0.2
午餐,拌木耳,芝麻油,192017,2,1,0,0,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
午餐,地三鲜,茄子,043101x,80,1,5,1,0.2,9,0.2,0.2,22,0.05,0.05,5,0.2,0.4,0.03,0,0,0.05,0.01,0.04
午餐,地三鲜,土豆,"021101
021104",80,1,18.4,2,0.2,10,0.8,0.3,0,0.1,0.04,19.7,0.8,1.6,0.12,0.1,0.1,0.1,0.03,0.12
午餐,地三鲜,青椒,043123,10,1,5.4,1.4,0.3,9,0.8,0.3,18,0.04,0.04,80,0.5,1,0.06,0.1,0.1,0.08,0.02,0.1
午餐,地三鲜,豆油,192004,10,1,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
午餐,红烧肉,五花猪肉,081108,50,1,0,20.6,39.8,11,1,2.5,7,0.6,0.2,0,6,10,1,1.5,1,0.6,0.2,0.9
午餐,红烧肉,干豆腐,031509,50,1,10,44.6,18,200,9.5,3.5,0,0.1,0.3,0,8,14,2.5,3,2,0.8,0.5,1.6
午餐,红烧肉,豆油,192004,10,1,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
晚餐,砂锅面,玉米面,013109,80,1,74,8.5,1.5,6,2.4,1,0,0.3,0.1,0,4,7,0.25,0.5,0.5,0.3,0.06,0.4
晚餐,砂锅面,白菜,045101x,20,1,3.6,1.5,0.2,45,0.8,0.2,0,0.04,0.05,27,0.5,1,0.05,0.1,0.1,0.06,0.01,0.07
晚餐,砂锅面,油菜,045125,20,1,3.8,1.8,0.4,60,1.2,0.3,0,0.05,0.1,30,0.6,1.2,0.06,0.1,0.1,0.07,0.01,0.09
晚餐,砂锅面,干豆腐,031509,10,1,10,44.6,18,200,9.5,3.5,0,0.1,0.3,0,8,14,2.5,3,2,0.8,0.5,1.6
晚餐,砂锅面,豆油,192004,10,1,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
晚餐,包子,小麦粉,011201x,25,1,70,10.5,1.8,15,1.2,1,0,0.5,0.2,0,4.5,8,0.25,0.6,0.6,0.4,0.11,0.5
晚餐,包子,猪肉,081111x,15,1,0,20.6,39.8,11,1,2.5,7,0.6,0.2,0,7,12,1,1.5,0.5,0.5,0.2,0.3
晚餐,包子,酸菜,045119,20,1,5,1.1,0.2,50,2,0.3,20,0.02,0.04,5,0.3,0.6,0.03,0,0,0.04,0.01,0.05
晚餐,包子,豆油,192004,5,1,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
晚餐,炸鸡块,炸鸡块,091303,100,1,0,25,20,20,1,1.5,10,0.1,0.2,0,7,12,1.5,2,1.5,0.7,0.3,1.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
